question_id,db_id,table_f1,column_f1,missing_tables,extra_tables,missing_columns,extra_columns,invalid,question
3,NTSB,0.0,0.0,AVOID,VPICDECODE,AVOID.AVAIL; AVOID.CASEID,VPICDECODE.CASEID,,How many crashes involved vehicles that were equipped with crash avoidance features?
5,NTSB,0.0,0.0,ADAPT,GV; VPICDECODE,,GV.CASEID; VPICDECODE.CASEID; VPICDECODE.CATEGORY,,How many crashes involved vehicles with after-marked adaptive driving equipment?
12,SBODemoUS-General,0.0,0.0,OPMG; PMG2,ODAB,OPMG.AbsEntry; OPMG.NAME; PMG2.AbsEntry; PMG2.REMARKS; PMG2.SOLUTION,,,"Show the project name and open issue remarks, and open issue solution for projects that have open issues."
13,NTSB,0.0,0.0,GV,VPICDECODE,GV.CASEID; GV.LIGHTCOND,,,Display a count of crashes by lighting condition
27,SBODemoUS-Service,0.0,0.0,OSCL; OSCO,,OSCL.AssignDate; OSCL.origin; OSCL.resolOnDat; OSCL.respOnDate; OSCO.Name; OSCO.originID,,,"Show the assigned date, response date, and resolved date of service calls that originated on the web"
34,NTSB,0.0,0.0,EDREVENT,VPICDECODE,EDREVENT.CASEID; EDREVENT.EDRSUMMNO; EDREVENT.VEHNO,VPICDECODE.CASEID; VPICDECODE.VEHNO,,"What are the case ids, vehicle numbers, and event data recording summary numbers of the vehicles that had 10 events recorded in their event data recorder?"
40,NTSB,0.0,0.0,GV,VPICDECODE,GV.VIN,VPICDECODE.CATEGORY,,How many different vehicles are there?
41,SBODemoUS-Banking,0.0,0.0,CHO1; OCHO,OCTG,CHO1.CheckKey; OCHO.AcctNum; OCHO.CheckKey,,,What are the account numbers that have checks for payment with more than one line? Include only one entry per account number.
42,SBODemoUS-Sales Opportunities,0.0,0.0,OPR1,OOPR,OPR1.CloseDate; OPR1.WtSumLoc; OPR1.WtSumSys,OOPR.CloseDate,,"For row-level sales opportunity data, show the weighted amount in both system and local currency for rows with the close date occuring in 2014."
49,SBODemoUS-Reports,0.0,0.0,OUQR,OQCN,OUQR.QCategory,OQCN.CatName; OQCN.CategoryId,,How many queries are there in each category?
57,SBODemoUS-Business Partners,0.0,0.0,CRD1; OCRD,OCPR,CRD1.CardCode; CRD1.TaxCode; OCRD.CDPNum; OCRD.CardCode; OCRD.PymCode,OCPR.CardCode,,Display the payment code and tax code for current business partners whos closing date procedure number is lower than 35
59,NTSB,0.0,0.0,CDC,VPICDECODE,CDC.DVBARRIER,VPICDECODE.VEHNO,,What is the highest vehicle-to-object collision speed difference recorded? This would equivalent to the speed of the vehicle if it struck a fixed stationary obstacle. 999 indicates an unknown value.
62,SBODemoUS-Service,0.0,0.0,OSCL,OINS,OSCL.BPBillAddr; OSCL.BPE_Mail; OSCL.BPShipAddr; OSCL.custmrName,OINS.custmrName; OINS.customer,,what is the business partner shipping and billing address and email for the customer named 'Aquent Systems'. Display only one row per unique result.
65,NTSB,0.0,0.0,CRASH,VPICDECODE,CRASH.CRASHYEAR,VPICDECODE.VERSION,,What years does this data span?
67,NTSB,0.0,0.0,ICS,VPICDECODE,ICS.SOE,,,How many injuries were caused by an unknown energy source? The lookup code unknown is 999.
71,ATBI,0.0,0.0,tbl_Deadwood,tbl_Events; tlu_DecayStage,tbl_Deadwood.Event_ID,tbl_Events.Event_Notes; tbl_Events.Updated_Date; tlu_DecayStage.DecayStage_ID,,How many events observed at least some stage of decay?
74,NYSED_SRC2022,0.0,0.0,Postsecondary_Enrollment,Institution_Grouping,Postsecondary_Enrollment.ENTITY_NAME; Postsecondary_Enrollment.PER_NYS_PUB_2_YR; Postsecondary_Enrollment.PER_NYS_PUB_4_YR; Postsecondary_Enrollment.SUBGROUP_NAME; Postsecondary_Enrollment.YEAR,Institution_Grouping.ENTITY_CD; Institution_Grouping.ENTITY_NAME; Institution_Grouping.GROUP_CODE; Institution_Grouping.GROUP_NAME; Institution_Grouping.INSTITUTION_ID,,"For the 2022 subgroup 'All Students' at Oneida Senior High School, what is the total graduate count, the percent of graduates who enrolled in a new york state public two-year postsecondary institution, and the percent of graduates who enrolled in a new york state public four-year postsecondary institution?"
76,ATBI,0.0,0.0,tbl_Locations,tlu_topo_position,tbl_Locations.QuadName; tbl_Locations.Topo_Position,tlu_topo_position.ID; tlu_topo_position.TopoPosition,,What is the quad name for the location with a topographic position of 7?
85,SBODemoUS-Inventory and Production,0.0,0.0,ITM1; OITM,ITT1,ITM1.ItemCode; ITM1.Price; OITM.IsCommited; OITM.ItemCode; OITM.ItemName,ITT1.ItemName; ITT1.Price,,"What is the number of commited items, the price-per-item, and the total price of the commited items for the item called 'Memory Chip?"
87,SBODemoUS-Inventory and Production,0.0,0.0,ITM4; OITB; OITM,OWOR,ITM4.ItemCode; ITM4.Volume; OITB.ItmsGrpCod; OITB.ItmsGrpNam; OITM.ItemCode; OITM.ItmsGrpCod,,,What is the average volume of items in the 'Items' Item group?
91,CratersWildlifeObservations,0.0,0.0,VERTEBRATES,INVERTEBRATES,VERTEBRATES.Common_Name; VERTEBRATES.Notes; VERTEBRATES.Observer,INVERTEBRATES.Notes,,Show the observation notes entered by observer stefanic for observations of vertebrates with the Common_Name dusky flycatcher
81,SBODemoUS-Finance,0.28571428571428575,0.0,BGT1,AACT; JDT1; OCFT; OFRC,BGT1.AcctCode; BGT1.CredLTotal; BGT1.DebLTotal; OACT.AcctCode; OACT.AcctName,AACT.Budget; JDT1.Account; JDT1.Credit; JDT1.Debit; OACT.Budget; OCFT.Account; OCFT.Credit; OCFT.Debit; OFRC.Name,,"Show the account name, the average monthly budget debit, and average monthly budget credit totals for general ledger accounts with the words 'Travel Expense' in their account name."
68,NYSED_SRC2022,0.33333333333333337,0.0,,Accountability_Status_by_Subgroup; Expenditures_per_Pupil; Inexperienced_Teachers_and_Principals; Teachers_Teaching_Out_of_Certification,Postsecondary_Enrollment.ENTITY_NAME; Postsecondary_Enrollment.OUT_4_YR_CNT; Postsecondary_Enrollment.SUBGROUP_NAME,Accountability_Status_by_Subgroup.YEAR; Expenditures_per_Pupil.YEAR; Inexperienced_Teachers_and_Principals.YEAR; Postsecondary_Enrollment.YEAR; Teachers_Teaching_Out_of_Certification.YEAR,,"In 2022, How many students in either the male or the female subgroup at Brocton Middle High School attended an out of state, four-year postsecondary institution?"
58,ATBI,0.4,0.0,tbl_Overstory; tbl_Seedlings,tbl_Tree_Tags,tbl_Overstory.Overstory_ID; tbl_Overstory.SpCode; tbl_Seedlings.Seedlings_ID; tbl_Seedlings.SpCode; tlu_PlantSpecies.CommonName; tlu_PlantSpecies.SpeciesCode; tlu_PlantSpecies.species,tbl_Tree_Tags.SpCode; tlu_PlantSpecies.subspecies,,Which tree species were recorded as mature overstory but not as saplings? Include the species name and common name.
99,SBODemoUS-Sales Opportunities,0.5,0.0,OOPR,OORL,OOPR.CardCode; OOPR.OpprId; OPR1.ClosePrcnt; OPR1.OpprId,,,"For each sales opportunity, show sequence number and, carde code, the average percentage rate of all the rows associated with the opportunity"
1,SBODemoUS-Reports,0.6666666666666666,0.0,,SRA3,RDOC.ExtOnErr; RDOC.NumRepArs; RDOC.SwpInEmail,RDOC.EmailFont; SRA3.Email; SRA3.Number,,"Show the Action for extension error, and the number of repetetive areas for documents that require conversion font for email (indicated by 'Y' value)."
17,ASIS_20161108_HerpInv_Database,0.6666666666666666,0.0,tblFieldDataWaterProperties,,tblFieldDataAmphibianCallCounts.LocationID; tblFieldDataWaterProperties.LocationID; tblFieldDataWaterProperties.TempC,tblFieldDataAmphibianCallCounts.Species_Code,,What is the average water temperature (celcius) at locations where amphibians were counted?
55,NTSB,0.6666666666666666,0.0,GV,,GLAZING.CASEID; GLAZING.GLAZIMP; GLAZING.VEHNO; GV.CASEID; GV.VEHNO; GV.VIN,,,Display a count of all vehicles by glazing (glass) impact damage category
70,CratersWildlifeObservations,0.6666666666666666,0.0,Class,,Class.Class; Class.Field2; VERTEBRATES.CLASS,VERTEBRATES.Number; VERTEBRATES.OBS_TYPE,,How many vertebrate observations were made of the Mammal class?
89,SBODemoUS-Business Partners,0.6666666666666666,0.0,,ACPR,OCPR.Address; OCPR.Cellolar; OCPR.E_MailL; OCPR.Name; OCPR.Position,ACPR.Position; OCPR.Fax,,"Make a contact roster that includes the name, address, cell phone number, and email address of all persons currently in either a CEO or COO position."
92,ATBI,0.6666666666666666,0.0,,tbl_Deadwood,,tlu_DecayStage.DecayStage_Descr; tlu_DecayStage.DecayStage_ID,,Show me the different decay stages and their descriptions
2,NTSB,1.0,0.0,,,CDC.CMAX,CDC.EVENTNO,,What is the maximum depth of crush measured? Codes 888 and 999 should be ignored.
33,NTSB,1.0,0.0,,,OCC.BELTUSE; OCC.MORTALITY,OCC.MAIS,,Show me occupant mortality counts by belt use category. A mortality occured (was fatal) indicated by lookup code 1.
44,NTSB,1.0,0.0,,,INJURY.CASEID; INJURY.INJNO; INJURY.OCCNO; INJURY.VEHNO,,,"list all of the cases, vehicle number, occupant number, and number of injuries for cases with an occupant that sustained more than one injury"
56,NYSED_SRC2022,1.0,0.0,,,BOCES_and_N/RC.BOCES_NAME,BOCES_and_N/RC.BOCES_CD; BOCES_and_N/RC.DISTRICT_CD,,How many board of cooperative educational services are there?
72,NTSB,1.0,0.0,,,OCC.BELTAVAIL; OCC.BELTUSE,OCC.VEHNO,,"How many vehicle occupants did not wear a seatbelt even though there was one available? The codes that correspond to no use are 0 and 1. The codes that correspond to a belt being available are 2, 3, 4, 5, 6, 7 and 8."
78,NTSB,1.0,0.0,,,INTRUSION.CASEID; INTRUSION.INTMAG; INTRUSION.VEHNO,,,Show the number of vehicles in each intrusion magnitude category
80,KlamathInvasiveSpecies,1.0,0.0,,,tbl_Locations.Rnd_Plt_In,tbl_Locations.Loc_Notes; tbl_Locations.Random_Selected,,How many locations were a randomly generated plot that was found to have an infestation?
